supervised
Category,NMI,ARI,F1
---,---,---,---
TAU=0
bottle,0.6374306985609393,0.5071018964001434,0.6385542168674698
cable,0.7074178440884952,0.382505730261547,0.6115107913669064
capsule,0.3208517152767604,0.18001706750987775,0.4621212121212121
hazelnut,0.6675738561852593,0.4872020268941609,0.7363636363636363
metal_nut,0.6756183720881779,0.5718803858119681,0.6695652173913044
pill,0.4627278645689158,0.3126284236457613,0.5
screw,0.4026017482670909,0.27214477699705336,0.5375
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.4068846243949545,0.18117511583911386,0.49
zipper,0.5571840675381621,0.4070801429001216,0.5703703703703704
carpet,0.6865522370663533,0.6017738742958554,0.752136752136752
grid,0.6830789969921017,0.6173197871311079,0.7307692307692306
leather,0.7584828401427705,0.7056729241732763,0.8225806451612904
tile,0.853418359503812,0.804995455031741,0.8888888888888888
wood,0.7959851661032216,0.7269573094347348,0.8823529411764706
MVTec(object),0.5175171509052101,0.3443948928037206,0.5737564322469982
MVTec(texture),0.7572134623746347,0.693808520965483,0.8154761904761905
---,---,---,---
TAU=0.2
bottle,0.6675361217153567,0.5913674396832518,0.7710843373493976
cable,0.7325824276338341,0.42948558139164156,0.6618705035971223
capsule,0.3197354330436133,0.17674933706919105,0.45454545454545453
hazelnut,0.7179483250830991,0.5607162984938788,0.7363636363636363
metal_nut,0.6420083630003782,0.5332021709082283,0.6521739130434783
pill,0.45901435522206896,0.2670497028845775,0.4933333333333334
screw,0.4085262154793129,0.28959896668224616,0.56875
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.3641038950186273,0.08561532633401883,0.46
zipper,0.5426603085564273,0.35458049806492453,0.5259259259259259
carpet,0.6759782005684624,0.5874994802062542,0.6837606837606838
grid,0.6344321959887269,0.5227006198693248,0.6282051282051282
leather,0.7960350474411901,0.7475361326059391,0.8467741935483871
tile,0.8342776229139646,0.788294813900958,0.8803418803418802
wood,0.6312468470844335,0.4758968500791515,0.7058823529411765
MVTec(object),0.5189557670846873,0.3410020157673926,0.5823327615780446
MVTec(texture),0.7297991549980429,0.648400886922361,0.7638888888888888
---,---,---,---
TAU=0.4
bottle,0.7298468816058521,0.5975894569648909,0.7590361445783133
cable,0.6945001971381722,0.3690090762127835,0.6187050359712231
capsule,0.2847562714312773,0.15698089923429426,0.45454545454545453
hazelnut,0.7125388433655465,0.5536365629992973,0.7818181818181819
metal_nut,0.6612648882410176,0.552182092667086,0.6608695652173913
pill,0.4865076094044822,0.2827523584157224,0.46
screw,0.3934053002974575,0.26981904964909975,0.53125
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.38319683668824917,0.09185837820199054,0.41999999999999993
zipper,0.5384469725735518,0.35601386995711365,0.4962962962962963
carpet,0.7544017325109992,0.6675841265507703,0.7948717948717948
grid,0.6745883738056102,0.6086243646499426,0.717948717948718
leather,0.7884435077977622,0.7479219330612844,0.8548387096774194
tile,0.8903265988501978,0.8602803853228337,0.9230769230769231
wood,0.7590376462713354,0.6505842988783704,0.8529411764705882
MVTec(object),0.5188920506356887,0.3332087923666928,0.565180102915952
MVTec(texture),0.7826044897608552,0.7206644848318167,0.8353174603174603
---,---,---,---
TAU=0.6
bottle,0.6245450758194725,0.5084257875732253,0.7228915662650603
cable,0.7212130486623604,0.42572678643371636,0.6402877697841727
capsule,0.3178221030948302,0.18664559245500004,0.4621212121212121
hazelnut,0.8705391541787021,0.8720134336882123,0.9363636363636364
metal_nut,0.7557389399391559,0.7015224177705245,0.8695652173913043
pill,0.5349000061213182,0.3695321769846312,0.52
screw,0.48468800274450374,0.3601817859364291,0.6375
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.3592625579070808,0.11824696427842972,0.44
zipper,0.5440874611518208,0.4408504789125739,0.5777777777777777
carpet,0.7184118877778727,0.6350256162813211,0.7948717948717948
grid,0.7210097963082718,0.6760103619184523,0.7692307692307693
leather,0.8614607638129206,0.8246569684463645,0.8951612903225806
tile,0.9111858844266355,0.884759254127207,0.9316239316239316
wood,0.7590376462713354,0.6505842988783704,0.8529411764705882
MVTec(object),0.5598992602196654,0.4173951742165648,0.6346483704974271
MVTec(texture),0.8042408692841778,0.7480968938065782,0.8551587301587301
---,---,---,---
TAU=0.8
bottle,0.5494714840830428,0.4392049381694769,0.6385542168674698
cable,0.7376318897094366,0.4176553038567142,0.6402877697841727
capsule,0.2817784988437555,0.13622448876255533,0.4318181818181818
hazelnut,0.8715097199653006,0.8754014202228999,0.9454545454545454
metal_nut,0.7123003925512433,0.6512069654861824,0.8347826086956521
pill,0.5605762533530962,0.3938664779185619,0.58
screw,0.43645589300375054,0.29996016544816867,0.575
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.4037611973389078,0.3102893890675241,0.6
zipper,0.5571646190915922,0.47044024843605464,0.5925925925925926
carpet,0.7765761010092753,0.7309955754981912,0.8376068376068376
grid,0.7227910622169669,0.6845285465853155,0.7564102564102565
leather,0.8192633349160616,0.7806599295609816,0.8790322580645161
tile,0.8962183667798189,0.8725007744822694,0.9316239316239316
wood,0.7758241007601678,0.6873005222593573,0.8676470588235294
MVTec(object),0.5502545467621113,0.4159175554057126,0.6372212692967409
MVTec(texture),0.8064272777093859,0.7629773142074733,0.8611111111111112
---,---,---,---
TAU=1
bottle,0.5733450415959755,0.4547692567760548,0.6987951807228916
cable,0.711129647684428,0.4708125363198627,0.6834532374100719
capsule,0.3175366082291651,0.1664551095108974,0.44696969696969696
hazelnut,0.8364062587563559,0.8264197599305656,0.9181818181818182
