unsupervised
Category,NMI,ARI,F1
---,---,---,---
TAU=0
bottle,0.48637401301244915,0.34923333563460207,0.6024096385542169
cable,0.5829023106353813,0.29110255113023437,0.5107913669064749
capsule,0.17623260175726124,0.06715659350111483,0.29545454545454547
hazelnut,0.49056849514000334,0.36363120933741344,0.6
metal_nut,0.5062452547221717,0.34411420241912977,0.5739130434782609
pill,0.37847923462076083,0.23830182139119122,0.44666666666666666
screw,0.042158620768710735,-0.010160513979627528,0.23125
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.23385259168858039,0.0372615662065617,0.41
zipper,0.4699363142999077,0.28033478396199213,0.4370370370370371
carpet,0.7051931005774212,0.6223735921929037,0.7863247863247863
grid,0.6881631690261267,0.6223989396951624,0.7307692307692306
leather,0.7037648940146456,0.6145985915719956,0.75
tile,0.8592926825574664,0.8286830166325911,0.905982905982906
wood,0.5972273283787044,0.39794407903868984,0.6911764705882353
MVTec(object),0.3569052897586269,0.20004546626193254,0.4468267581475129
MVTec(texture),0.7234124384888644,0.6380777048777062,0.7837301587301587
---,---,---,---
TAU=0.2
bottle,0.5530416916221611,0.4123367162319996,0.5542168674698795
cable,0.6087037976859802,0.2875341847289953,0.5539568345323741
capsule,0.23726738061367159,0.09054431486392815,0.3560606060606061
hazelnut,0.5045548262165241,0.3588007037010812,0.6
metal_nut,0.4271459524784829,0.24311348635554153,0.5304347826086957
pill,0.4022121861245766,0.26628858639240943,0.44
screw,0.03769318929943852,-0.013282109722299583,0.225
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.29632495419866967,0.0730644004194029,0.39
zipper,0.4745915444944759,0.27519726908887526,0.4444444444444444
carpet,0.655680912356703,0.5516262606024177,0.7350427350427351
grid,0.7219785306387432,0.6752791636968402,0.7564102564102565
leather,0.7805597001922744,0.7410778319606456,0.8387096774193549
tile,0.8488132339818641,0.811944512193618,0.8974358974358975
wood,0.7590376462713354,0.6505842988783704,0.8529411764705882
MVTec(object),0.3734916169557478,0.20199023234869282,0.4485420240137221
MVTec(texture),0.7554446493685063,0.6911566243498789,0.8174603174603174
---,---,---,---
TAU=0.4
bottle,0.6301042832729861,0.5177061496656975,0.6385542168674698
cable,0.6821902490497622,0.4032774147099701,0.5827338129496403
capsule,0.22595093688028733,0.08223144886966323,0.3484848484848485
hazelnut,0.4815568777438218,0.317260178954136,0.6
metal_nut,0.4514356619987563,0.2887441214372981,0.5652173913043478
pill,0.4407579241554829,0.2961865027787516,0.4866666666666667
screw,0.03227890156875401,-0.0174020749233292,0.20625
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.2975178545456189,0.08333333333333333,0.4000000000000001
zipper,0.4872991922514086,0.38426012315730546,0.5703703703703704
carpet,0.7779924179095311,0.7034667476481845,0.8034188034188035
grid,0.7121719649664534,0.6580209628708474,0.7307692307692306
leather,0.8205949198338788,0.7843329456599393,0.8629032258064516
tile,0.9111858844266355,0.884759254127207,0.9316239316239316
wood,0.7372699081690963,0.64480287156554,0.8529411764705882
MVTec(object),0.3924718748341517,0.23971802871212777,0.4794168096054888
MVTec(texture),0.803713092173838,0.7504999163490794,0.8432539682539683
---,---,---,---
TAU=0.6
bottle,0.6016971557343888,0.4761913121329951,0.5903614457831325
cable,0.5837913467940004,0.26839208264989883,0.5107913669064749
capsule,0.2248065725029175,0.0809276800451976,0.3409090909090909
hazelnut,0.4275645130687342,0.26864715659916183,0.5727272727272728
metal_nut,0.4801369543769762,0.3089901633298954,0.5304347826086957
pill,0.5661086626228403,0.39474165183146076,0.6066666666666667
screw,0.028427934478783747,-0.01591120571500737,0.2125
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.3085777509956206,0.08364977009430966,0.41999999999999993
zipper,0.4752100701117722,0.2956732864773215,0.4740740740740741
carpet,0.7502035576362435,0.6854220864459772,0.8290598290598291
grid,0.6526705274568706,0.6209803401420697,0.717948717948718
leather,0.7978402979715009,0.7438759050508106,0.8548387096774194
tile,0.9111858844266355,0.884759254127207,0.9316239316239316
wood,0.7758241007601678,0.6873005222593573,0.8676470588235294
MVTec(object),0.3914732535683077,0.22059985063129206,0.467409948542024
MVTec(texture),0.7876569477443457,0.7363585934882555,0.8472222222222222
---,---,---,---
TAU=0.8
bottle,0.6363623461095584,0.5239592357657858,0.6867469879518072
cable,0.6398772884571623,0.34516169931821306,0.5971223021582733
capsule,0.20582765431774622,0.07145242149655122,0.32575757575757575
hazelnut,0.4369843780238568,0.26114336498024704,0.5909090909090909
metal_nut,0.4886100823324155,0.309793094852215,0.5217391304347826
pill,0.4752097753814279,0.2782009246445172,0.5066666666666667
screw,0.03177037345423552,-0.014088133511900993,0.225
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.3061064575556653,0.07996030925703891,0.39
zipper,0.5053752801668306,0.3955564187281656,0.5703703703703704
carpet,0.7396873730802433,0.6836230601588439,0.8376068376068376
grid,0.7013836340466915,0.6709110737760485,0.7435897435897437
leather,0.8128194103103462,0.7151739968797677,0.7580645161290323
tile,0.9111858844266355,0.884759254127207,0.9316239316239316
wood,0.7758241007601678,0.6873005222593573,0.8676470588235294
MVTec(object),0.39224826687457937,0.2279564197063988,0.4811320754716981
MVTec(texture),0.7964399609407165,0.7366067572474747,0.8293650793650794
---,---,---,---
TAU=1
bottle,0.564069191353919,0.4255497117170491,0.5783132530120482
cable,0.6811496330805118,0.4208986395489384,0.6187050359712231
capsule,0.21210914350673757,0.07750287222914831,0.3409090909090909
hazelnut,0.4412820876299343,0.2708641228413649,0.5727272727272728
