supervised
Category,NMI,ARI,F1
---,---,---,---
TAU=0.2
bottle,0.5113952555201804,0.41794452294192014,0.6987951807228916
cable,0.6431216344253182,0.4094288948190489,0.6258992805755396
capsule,0.21467216044477014,0.1031491776550307,0.3712121212121212
hazelnut,0.7290671880779875,0.5199982124572181,0.6818181818181818
metal_nut,0.4853459244429695,0.3738066504298878,0.5826086956521739
pill,0.3042891935083494,0.12644757044668023,0.36666666666666664
screw,0.44190335282980225,0.2850005892037581,0.50625
toothbrush,0.1066163282743745,-0.01839926402943882,0.5714285714285714
transistor,0.4116784187687756,0.21359303542894925,0.53
zipper,0.7259498154945255,0.5143252155069143,0.6074074074074074
carpet,0.6459773182468266,0.576208779678431,0.7692307692307693
grid,0.3487400214945286,0.21054218684035944,0.4358974358974359
leather,0.7957813255511813,0.7135472677217866,0.7580645161290323
tile,0.8475539428712091,0.7797296833644807,0.7692307692307693
wood,0.7265802997616853,0.5271618745488511,0.7941176470588235
MVTec(object),0.47700298353919973,0.30874008558397736,0.5411663807890223
MVTec(texture),0.6945024285308026,0.5940356337626826,0.7182539682539683
---,---,---,---
TAU=0.4
bottle,0.639207411776292,0.5350301300385413,0.7469879518072289
cable,0.6827880642642488,0.4317161378278073,0.6474820143884892
capsule,0.20251010268744332,0.10359039947752259,0.38636363636363635
hazelnut,0.6534726729754441,0.46178623302625404,0.6818181818181818
metal_nut,0.5737064674845783,0.40439259168435554,0.591304347826087
pill,0.31693486465152915,0.11780320558378901,0.4000000000000001
screw,0.4380490886559129,0.29061844290264743,0.525
toothbrush,0.12205628444094828,0.0031057169711086593,0.5952380952380952
transistor,0.3583782259435125,0.22615898167513884,0.47
zipper,0.7174084050736883,0.6049167297436632,0.7185185185185186
carpet,0.6610864395351232,0.5670965497766932,0.7777777777777778
grid,0.31899230421770175,0.12796346528128974,0.358974358974359
leather,0.8038948742204844,0.7131845154854699,0.7580645161290323
tile,0.8933563121228691,0.8937363766432049,0.9487179487179487
wood,0.7742698397195062,0.5589298416547508,0.8235294117647058
MVTec(object),0.4871301308417025,0.3293062940450882,0.565180102915952
MVTec(texture),0.7124692761453022,0.6098029996741865,0.753968253968254
---,---,---,---
TAU=0.6
bottle,0.6307157470657618,0.4868589439564007,0.6987951807228916
cable,0.7323408869584906,0.6240072122349283,0.7985611510791367
capsule,0.23833641661691352,0.11999057174845854,0.4242424242424243
hazelnut,0.7519739610734282,0.5614599250817527,0.7636363636363637
metal_nut,0.5583728241105615,0.37853895030316703,0.5565217391304348
pill,0.38204780614050976,0.19264703565740648,0.47333333333333333
screw,0.44087139434401645,0.308518606213185,0.54375
toothbrush,0.13853390610475463,0.02832215639039,0.6190476190476191
transistor,0.44286955689980156,0.23554763582114294,0.53
zipper,0.7165933083134259,0.5973201207547543,0.7185185185185186
carpet,0.6354823188145794,0.5242260656351401,0.752136752136752
grid,0.3007179118437577,0.15601967394953078,0.38461538461538464
leather,0.8038948742204844,0.7131845154854699,0.7580645161290323
tile,0.8933563121228691,0.8937363766432049,0.9487179487179487
wood,0.7508855923619213,0.560176746928912,0.8088235294117648
MVTec(object),0.520778111631839,0.3704289572545565,0.6063464837049742
MVTec(texture),0.70054226513382,0.6043611885436391,0.75
---,---,---,---
TAU=0.8
bottle,0.5331500213005806,0.41005326757442023,0.6746987951807228
cable,0.7678518220282464,0.5381464902039927,0.7050359712230215
capsule,0.24976176633566521,0.1231987234326039,0.4015151515151515
hazelnut,0.7950392439080768,0.6405378950802878,0.7272727272727273
metal_nut,0.6371476984871519,0.47715449747263533,0.6
pill,0.3236078697304566,0.16880078396894516,0.44
screw,0.36007062435128095,0.2123008343799046,0.5
toothbrush,0.12205628444094828,0.0031057169711086593,0.5952380952380952
transistor,0.48965974866935635,0.3683535045471482,0.65
zipper,0.7355193053260967,0.6470149974300842,0.7481481481481481
carpet,0.6370752245021775,0.5503135197794385,0.7692307692307693
grid,0.30294650262247247,0.1061136390152841,0.37179487179487186
leather,0.8038948742204844,0.7131845154854699,0.7580645161290323
tile,0.8899308064037041,0.8780924277128526,0.9401709401709402
wood,0.7928774842555767,0.5772388574224926,0.8235294117647058
MVTec(object),0.5181969431649616,0.3722401516509517,0.5943396226415094
MVTec(texture),0.7061273137961513,0.6013640514379326,0.751984126984127
---,---,---,---
TAU=1
bottle,0.536418754042259,0.45071543434033046,0.7108433734939759
cable,0.7616749858585667,0.5647015692048979,0.7482014388489209
capsule,0.2250989864223269,0.11533988987858103,0.38636363636363635
hazelnut,0.8417470697455218,0.8621942065658215,0.9363636363636364
metal_nut,0.638353579375302,0.4608309449964716,0.6
pill,0.3350151076296949,0.15991146905511694,0.41999999999999993
screw,0.4384607612022871,0.2828423830532998,0.525
toothbrush,0.2506370482435142,0.05001838911364472,0.6428571428571429
transistor,0.5992418115511218,0.5369364076956968,0.7100000000000001
zipper,0.7102346341294649,0.5912099421834021,0.7111111111111111
carpet,0.62778984199131,0.5381623097540194,0.7606837606837606
grid,0.20779323815902506,0.0706155233881706,0.358974358974359
leather,0.7957813255511813,0.7135472677217866,0.7580645161290323
tile,0.9121912544237454,0.9101899262869108,0.9572649572649573
wood,0.7508855923619213,0.560176746928912,0.8088235294117648
MVTec(object),0.5427530753459694,0.41493477099865617,0.6234991423670669
MVTec(texture),0.6867515188609576,0.598287901646297,0.75
---,---,---,---
TAU=1.5
bottle,0.5882357527419109,0.5086082110534947,0.7349397590361445
cable,0.7851261501729442,0.5562236414631554,0.7338129496402878
capsule,0.276940840598848,0.15840767671774375,0.44696969696969696
hazelnut,0.9041822458649371,0.9153571512423686,0.9636363636363636
metal_nut,0.5880558443151336,0.4612611098849333,0.6782608695652174
pill,0.3628781683566523,0.17629443684650936,0.46
screw,0.4219987808941244,0.26043824266870164,0.46875
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.6769259317991547,0.5431085978256541,0.76
zipper,0.6710191854380325,0.5140535247577227,0.6592592592592592
carpet,0.6068854661887383,0.5157696560967149,0.717948717948718
grid,0.20342321518501877,0.0700891484783277,0.34615384615384615
leather,0.7990747047236442,0.7228007439180972,0.7580645161290323
tile,0.930688489858668,0.9257677534887001,0.9658119658119658
wood,0.7928774842555767,0.5772388574224926,0.8235294117647058
MVTec(object),0.5581494092255594,0.416527682145393,0.6346483704974271
MVTec(texture),0.6919922538831133,0.6012031052646364,0.7420634920634921
---,---,---,---
TAU=2
bottle,0.6471648063745739,0.5692800688690569,0.783132530120482
cable,0.7882776540953659,0.5408845641874713,0.712230215827338
capsule,0.2922533954475218,0.1541441511453627,0.45454545454545453
hazelnut,0.8754550650346444,0.8757548847701684,0.9181818181818182
metal_nut,0.6585494482767204,0.5176563953844218,0.6434782608695652
pill,0.33148210108659404,0.13469187756693585,0.37333333333333335
screw,0.3932096174460208,0.22554715487063018,0.46875
toothbrush,0.2506370482435142,0.05001838911364472,0.6428571428571429
